Unnamed: 0,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,International Reputation,Weak Foot,Skill Moves,Work Rate,Real Face,Position,Release Clause,Wage_ok
0,L. Messi,31,Argentina,94,94,FC Barcelona,€110.5M,€565K,5.0,4.0,4.0,Medium/ Medium,Yes,RF,€226.5M,565000
1,Cristiano Ronaldo,33,Portugal,94,94,Juventus,€77M,€405K,5.0,4.0,5.0,High/ Low,Yes,ST,€127.1M,405000
2,Neymar Jr,26,Brazil,92,93,Paris Saint-Germain,€118.5M,€290K,5.0,5.0,5.0,High/ Medium,Yes,LW,€228.1M,290000
3,De Gea,27,Spain,91,93,Manchester United,€72M,€260K,4.0,3.0,1.0,Medium/ Medium,Yes,GK,€138.6M,260000
4,K. De Bruyne,27,Belgium,91,92,Manchester City,€102M,€355K,4.0,5.0,4.0,High/ High,Yes,RCM,€196.4M,355000
5,E. Hazard,27,Belgium,91,91,Chelsea,€93M,€340K,4.0,4.0,4.0,High/ Medium,Yes,LF,€172.1M,340000
6,L. Modrić,32,Croatia,91,91,Real Madrid,€67M,€420K,4.0,4.0,4.0,High/ High,Yes,RCM,€137.4M,420000
7,L. Suárez,31,Uruguay,91,91,FC Barcelona,€80M,€455K,5.0,4.0,3.0,High/ Medium,Yes,RS,€164M,455000
8,Sergio Ramos,32,Spain,91,91,Real Madrid,€51M,€380K,4.0,3.0,3.0,High/ Medium,Yes,RCB,€104.6M,380000
9,J. Oblak,25,Slovenia,90,93,Atlético Madrid,€68M,€94K,3.0,3.0,1.0,Medium/ Medium,Yes,GK,€144.5M,94000
10,R. Lewandowski,29,Poland,90,90,FC Bayern München,€77M,€205K,4.0,4.0,4.0,High/ Medium,Yes,ST,€127.1M,205000
11,T. Kroos,28,Germany,90,90,Real Madrid,€76.5M,€355K,4.0,5.0,3.0,Medium/ Medium,Yes,LCM,€156.8M,355000
12,D. Godín,32,Uruguay,90,90,Atlético Madrid,€44M,€125K,3.0,3.0,2.0,Medium/ High,Yes,CB,€90.2M,125000
13,David Silva,32,Spain,90,90,Manchester City,€60M,€285K,4.0,2.0,4.0,High/ Medium,Yes,LCM,€111M,285000
14,N. Kanté,27,France,89,90,Chelsea,€63M,€225K,3.0,3.0,2.0,Medium/ High,Yes,LDM,€121.3M,225000
15,P. Dybala,24,Argentina,89,94,Juventus,€89M,€205K,3.0,3.0,4.0,High/ Medium,Yes,LF,€153.5M,205000
16,H. Kane,24,England,89,91,Tottenham Hotspur,€83.5M,€205K,3.0,4.0,3.0,High/ High,Yes,ST,€160.7M,205000
17,A. Griezmann,27,France,89,90,Atlético Madrid,€78M,€145K,4.0,3.0,4.0,High/ High,Yes,CAM,€165.8M,145000
18,M. ter Stegen,26,Germany,89,92,FC Barcelona,€58M,€240K,3.0,4.0,1.0,Medium/ Medium,Yes,GK,€123.3M,240000
19,T. Courtois,26,Belgium,89,90,Real Madrid,€53.5M,€240K,4.0,2.0,1.0,Medium/ Medium,Yes,GK,€113.7M,240000
20,Sergio Busquets,29,Spain,89,89,FC Barcelona,€51.5M,€315K,4.0,3.0,3.0,Medium/ Medium,Yes,CDM,€105.6M,315000
